ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
3	154	node3	667	99502	154	node3	51	441	11	14
4	155	node4	515	51497	155	node4	20	120	11	14
5	156	node5	2349	135569	156	node5	14	94	11	14
6	157	node6	666	31539	157	node6	241	1947	11	14
7	158	node7	4311	138045	158	node7	42	325	11	14
8	159	node8	4313	71478	159	node8	472	11227	11	14
9	160	node9	212	2197	160	node9	4810	136631	11	14
10	161	node10	459	4811	161	node10	409	17110	11	14
11	162	node11	101	1876	162	node11	1256	29240	11	14
12	163	node12	172	2106	163	node12	360	10342	11	14
13	164	node13	720	11863	164	node13	600	25941	11	14
14	165	node14	370	3390	165	node14	1347	38830	11	14
15	166	node15	116	1621	166	node15	2128	57166	11	14
16	167	node16	382	3851	167	node16	419	8782	11	14
17	177	node26	70	433	177	node26	2631	90419	11	14
18	178	node27	38	380	178	node27	1111	64182	11	14
19	179	node28	573	4027	179	node28	511	43288	11	14
20	180	node29	9	72	180	node29	1382	112297	11	14
21	14	Hazt	1886	2930	14	Hazt	803	68411	11	14
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	15
2	152	node1	2647	391089	NA	NA	NA	NA	11	15
3	154	node3	667	99502	154	node3	51	441	11	15
4	155	node4	515	51497	155	node4	20	120	11	15
5	156	node5	2349	135569	156	node5	14	94	11	15
6	157	node6	666	31539	157	node6	241	1947	11	15
7	158	node7	4311	138045	158	node7	42	325	11	15
8	159	node8	4313	71478	159	node8	472	11227	11	15
9	160	node9	212	2197	160	node9	4810	136631	11	15
10	161	node10	459	4811	161	node10	409	17110	11	15
11	162	node11	101	1876	162	node11	1256	29240	11	15
12	163	node12	172	2106	163	node12	360	10342	11	15
13	164	node13	720	11863	164	node13	600	25941	11	15
14	165	node14	370	3390	165	node14	1347	38830	11	15
15	166	node15	116	1621	166	node15	2128	57166	11	15
16	167	node16	382	3851	167	node16	419	8782	11	15
17	177	node26	70	433	177	node26	2631	90419	11	15
18	178	node27	38	380	178	node27	1111	64182	11	15
19	179	node28	573	4027	179	node28	511	43288	11	15
20	180	node29	9	72	180	node29	1382	112297	11	15
21	15	Anas	1359	2076	15	Anas	1793	246773	11	15
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	16
2	152	node1	2647	391089	NA	NA	NA	NA	11	16
3	154	node3	667	99502	154	node3	51	441	11	16
4	155	node4	515	51497	155	node4	20	120	11	16
5	156	node5	2349	135569	156	node5	14	94	11	16
6	157	node6	666	31539	157	node6	241	1947	11	16
7	158	node7	4311	138045	158	node7	42	325	11	16
8	159	node8	4313	71478	159	node8	472	11227	11	16
9	160	node9	212	2197	160	node9	4810	136631	11	16
10	161	node10	459	4811	161	node10	409	17110	11	16
11	162	node11	101	1876	162	node11	1256	29240	11	16
12	163	node12	172	2106	163	node12	360	10342	11	16
13	164	node13	720	11863	164	node13	600	25941	11	16
14	165	node14	370	3390	165	node14	1347	38830	11	16
15	166	node15	116	1621	166	node15	2128	57166	11	16
16	167	node16	382	3851	167	node16	419	8782	11	16
17	177	node26	70	433	177	node26	2631	90419	11	16
18	178	node27	38	380	178	node27	1111	64182	11	16
19	179	node28	573	4027	179	node28	511	43288	11	16
20	181	node30	651	2852	181	node30	535	22982	11	16
21	182	node31	361	1337	182	node31	242	15714	11	16
22	183	node32	164	566	183	node32	621	38652	11	16
23	16	Pcla	7899	8591	16	Pcla	648	33991	11	16
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	17
2	152	node1	2647	391089	NA	NA	NA	NA	11	17
3	154	node3	667	99502	154	node3	51	441	11	17
4	155	node4	515	51497	155	node4	20	120	11	17
5	156	node5	2349	135569	156	node5	14	94	11	17
6	157	node6	666	31539	157	node6	241	1947	11	17
7	158	node7	4311	138045	158	node7	42	325	11	17
8	159	node8	4313	71478	159	node8	472	11227	11	17
9	160	node9	212	2197	160	node9	4810	136631	11	17
10	161	node10	459	4811	161	node10	409	17110	11	17
11	162	node11	101	1876	162	node11	1256	29240	11	17
12	163	node12	172	2106	163	node12	360	10342	11	17
13	164	node13	720	11863	164	node13	600	25941	11	17
14	165	node14	370	3390	165	node14	1347	38830	11	17
15	166	node15	116	1621	166	node15	2128	57166	11	17
16	167	node16	382	3851	167	node16	419	8782	11	17
17	177	node26	70	433	177	node26	2631	90419	11	17
18	178	node27	38	380	178	node27	1111	64182	11	17
19	179	node28	573	4027	179	node28	511	43288	11	17
20	181	node30	651	2852	181	node30	535	22982	11	17
21	182	node31	361	1337	182	node31	242	15714	11	17
22	183	node32	164	566	183	node32	621	38652	11	17
23	17	Cqua	875	1153	17	Cqua	768	70698	11	17
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	18
2	152	node1	2647	391089	NA	NA	NA	NA	11	18
3	154	node3	667	99502	154	node3	51	441	11	18
4	155	node4	515	51497	155	node4	20	120	11	18
5	156	node5	2349	135569	156	node5	14	94	11	18
6	157	node6	666	31539	157	node6	241	1947	11	18
