representative	minTaxID
pid|0000000000006513418|tx|65|	10000001
pid|0000000000006512159|tx|65|	10000001
pid|0000000000001448589|tx|144|	10000001
pid|0000000000014810213|tx|148|	10000001
pid|0000000000000652733|tx|65|	10000001
pid|0000000000000006517|tx|65|	10000001
pid|0000000000000659641|tx|65|	10000001
pid|0000000000000651384|tx|65|	10000001
pid|0000000000000651245|tx|65|	10000001
pid|0000000000000654470|tx|65|	10000001
pid|0000000000000652876|tx|65|	10000001
pid|0000000000000657777|tx|65|	10000001
pid|0000000000000656904|tx|65|	10000001
pid|0000000000000654906|tx|65|	10000001
pid|0000000000000657832|tx|65|	10000001
pid|0000000000000065395|tx|65|	10000001
pid|0000000000000065757|tx|65|	10000001
pid|0000000000006511016|tx|65|	10000001
pid|0000000000000000654|tx|65|	10000001
pid|0000000000000653804|tx|65|	10000001
pid|0000000000000653486|tx|65|	10000001
pid|0000000000000006564|tx|65|	10000001
pid|0000000000006510743|tx|65|	10000001
pid|0000000000000652916|tx|65|	10000001
pid|0000000000000065102|tx|65|	10000001
pid|0000000000000065368|tx|65|	10000001
pid|0000000000000651956|tx|65|	10000001
pid|0000000000000065510|tx|65|	10000001
pid|0000000000000653870|tx|65|	10000001
pid|0000000000000652427|tx|65|	10000001
pid|0000000000000656210|tx|65|	10000001
pid|0000000000000006514|tx|65|	10000001
pid|0000000000000651264|tx|65|	10000001
pid|0000000000000653545|tx|65|	10000001
pid|0000000000000653686|tx|65|	10000001
pid|0000000000000065662|tx|65|	10000001
pid|0000000000000065982|tx|65|	10000001
pid|0000000000000652504|tx|65|	10000001
pid|0000000000000065161|tx|65|	10000001
pid|0000000000000065541|tx|65|	10000001
pid|0000000000000651383|tx|65|	10000001
pid|0000000000000065631|tx|65|	10000001
pid|0000000000000651471|tx|65|	10000001
pid|0000000000000000659|tx|65|	10000001
pid|0000000000000065178|tx|65|	10000001
pid|0000000000006515370|tx|65|	10000001
pid|0000000000000657111|tx|65|	10000001
pid|0000000000000651745|tx|65|	10000001
pid|0000000000006510631|tx|65|	10000001
pid|0000000000000652365|tx|65|	10000001
pid|0000000000000654659|tx|65|	10000001
pid|0000000000000655645|tx|65|	10000001
pid|0000000000000651753|tx|65|	10000001
pid|0000000000000651100|tx|65|	10000001
pid|0000000000000652939|tx|65|	10000001
pid|0000000000000652422|tx|65|	10000001
pid|0000000000000651123|tx|65|	10000001
pid|0000000000000651124|tx|65|	10000001
pid|0000000000000655908|tx|65|	10000001
pid|0000000000000006575|tx|65|	10000001
pid|0000000000001133506|tx|113|	10000001
pid|0000000000000659438|tx|65|	10000001
pid|0000000000000652728|tx|65|	10000001
pid|0000000000006511455|tx|65|	10000001
pid|0000000000000065174|tx|65|	10000001
pid|0000000000000658337|tx|65|	10000001
pid|0000000000000653323|tx|65|	10000001
pid|0000000000006510219|tx|65|	10000001
pid|0000000000000652159|tx|65|	10000001
pid|0000000000000654162|tx|65|	10000001
pid|0000000000000651309|tx|65|	10000001
pid|0000000000006511333|tx|65|	10000001
pid|0000000000000651390|tx|65|	10000001
pid|0000000000006510198|tx|65|	10000001
pid|0000000000000654925|tx|65|	10000001
pid|0000000000000653661|tx|65|	10000001
pid|0000000000006517405|tx|65|	10000001
pid|0000000000006512487|tx|65|	10000001
pid|0000000000000653364|tx|65|	10000001
pid|0000000000006510421|tx|65|	10000001
pid|0000000000000065278|tx|65|	10000001
pid|0000000000000651254|tx|65|	10000001
pid|0000000000000658972|tx|65|	10000001
pid|0000000000000065582|tx|65|	10000001
pid|0000000000000006529|tx|65|	10000001
pid|0000000000000658867|tx|65|	10000001
pid|0000000000000651676|tx|65|	10000001
pid|0000000000006510299|tx|65|	10000001
pid|0000000000000006542|tx|65|	10000001
pid|0000000000000659653|tx|65|	10000001
pid|0000000000000659186|tx|65|	10000001
pid|0000000000000655570|tx|65|	10000001
pid|0000000000000652040|tx|65|	10000001
pid|0000000000000653547|tx|65|	10000001
pid|0000000000006515594|tx|65|	10000001
pid|0000000000006511479|tx|65|	10000001
pid|0000000000000006567|tx|65|	10000001
pid|0000000000000659703|tx|65|	10000001
pid|0000000000000658001|tx|65|	10000001
pid|0000000000000065116|tx|65|	10000001
pid|0000000000000065360|tx|65|	10000001
pid|0000000000000651893|tx|65|	10000001
pid|0000000000000653505|tx|65|	10000001
pid|0000000000000653705|tx|65|	10000001
pid|0000000000000065320|tx|65|	10000001
pid|0000000000000655880|tx|65|	10000001
pid|0000000000000652768|tx|65|	10000001
pid|0000000000000065477|tx|65|	10000001
pid|0000000000000654579|tx|65|	10000001
pid|0000000000000065212|tx|65|	10000001
pid|0000000000000065246|tx|65|	10000001
pid|0000000000006510646|tx|65|	10000001
pid|0000000000006510823|tx|65|	10000001
pid|0000000000001481557|tx|148|	10000001
pid|0000000000000658548|tx|65|	10000001
pid|0000000000000658366|tx|65|	10000001
pid|0000000000000653448|tx|65|	10000001
pid|0000000000000652929|tx|65|	10000001
pid|0000000000000655255|tx|65|	10000001
pid|0000000000000653828|tx|65|	10000001
pid|0000000000006518712|tx|65|	10000001
pid|0000000000000656930|tx|65|	10000001
pid|0000000000000065464|tx|65|	10000001
pid|0000000000000065109|tx|65|	10000001
pid|0000000000000658618|tx|65|	10000001
pid|0000000000000651031|tx|65|	10000001
pid|0000000000000065227|tx|65|	10000001
pid|0000000000000651813|tx|65|	10000001
pid|0000000000000655369|tx|65|	10000001
pid|0000000000000659622|tx|65|	10000001
pid|0000000000001133549|tx|113|	10000001
pid|0000000000000652265|tx|65|	10000001
pid|0000000000000652189|tx|65|	10000001
pid|0000000000000654899|tx|65|	10000001
pid|0000000000006513912|tx|65|	10000001
pid|0000000000000655258|tx|65|	10000001
pid|0000000000000651411|tx|65|	10000001
pid|0000000000000653060|tx|65|	10000001
pid|0000000000006515519|tx|65|	10000001
pid|0000000000000655425|tx|65|	10000001
pid|0000000000000089649|tx|89|	10000001
pid|0000000000006512013|tx|65|	10000001
pid|0000000000000653565|tx|65|	10000001
pid|0000000000000065576|tx|65|	10000001
pid|0000000000000652142|tx|65|	10000001
pid|0000000000000652196|tx|65|	10000001
pid|0000000000006511654|tx|65|	10000001
pid|0000000000000654119|tx|65|	10000001
pid|0000000000006510371|tx|65|	10000001
pid|0000000000000656859|tx|65|	10000001
pid|0000000000006519404|tx|65|	10000001
pid|0000000000000653463|tx|65|	10000001
pid|0000000000000655010|tx|65|	10000001
pid|0000000000001131489|tx|113|	10000001
pid|0000000000000651566|tx|65|	10000001
pid|0000000000006516767|tx|65|	10000001
pid|0000000000000653876|tx|65|	10000001
pid|0000000000000065848|tx|65|	10000001
pid|0000000000000655216|tx|65|	10000001
pid|0000000000000656222|tx|65|	10000001
pid|0000000000000657890|tx|65|	10000001
pid|0000000000006511985|tx|65|	10000001
pid|0000000000000651227|tx|65|	10000001
pid|0000000000000065825|tx|65|	10000001
pid|0000000000000065104|tx|65|	10000001
pid|0000000000000655218|tx|65|	10000001
pid|0000000000000654325|tx|65|	10000001
